filename,pitch_mean,pitch_min,pitch_max,pitch_depth,energy,speaking_rate,gender,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1272-128104-0000_1.flac,1277.547,153.204,3993.4778,3840.2737,9.578499,9.564474807856532,male,-270.53543,72.5779,36.939964,0.0568013,5.353791,-1.8877615,-2.012185,-3.5055122,-1.8214334,-0.64445895,5.3190713,-1.9020473,2.5676522
1272-128104-0001_1.flac,1386.6936,153.68596,3995.9368,3842.2507,9.542079,9.553478712357217,female,-271.05533,68.17836,30.057135,3.3073144,19.59939,-0.0694504,-8.572312,-4.1467934,0.093636066,-0.13765328,1.4790639,-0.8439064,2.9863079
1272-128104-0002_1.flac,1686.8936,152.52641,3995.7751,3843.2488,24.117176,10.172206647977573,female,-267.69794,52.863182,35.257923,6.2762485,14.780934,-1.7749054,-5.186496,-4.4997935,-4.7727375,-1.0317677,0.51420355,-0.33357555,1.9006327
1272-128104-0003_1.flac,1466.0519,152.45767,3995.8154,3843.3577,17.017239,9.494949494949495,female,-269.67007,73.808556,28.630255,4.2667403,18.755882,-5.074309,-6.9904075,-4.9178257,-0.53129995,-3.8859863,2.2254434,1.1480062,-0.21618804
1272-128104-0004_1.flac,1643.6858,152.34703,3995.8066,3843.4597,52.795532,9.285714285714286,female,-274.92206,60.074413,32.071655,0.82569194,16.412426,-1.4793491,-8.771346,-1.9199941,-1.6942848,2.1363683,-0.29957038,-0.79098034,-1.1952232
1272-128104-0005_1.flac,1555.4482,152.36957,3995.8896,3843.52,14.802103,9.655937846836848,female,-273.30057,61.098583,32.80037,1.5588344,18.893694,0.3538693,-7.5971656,-2.1323376,-4.416621,4.045132,2.6122687,1.0961726,1.8317516
1272-128104-0006_1.flac,1636.3983,152.5045,3996.0815,3843.5771,8.067527,9.574468085106384,female,-293.1456,66.99532,41.441868,7.272961,12.907916,0.67617524,-1.1397965,-4.7034945,-2.1536856,-3.5526223,1.1021323,1.8767078,0.3605877
1272-128104-0007_1.flac,1472.5729,152.64082,3995.817,3843.176,15.174041,8.333333333333334,female,-297.78754,60.509544,27.521868,8.179616,12.253385,-7.137175,-2.8982081,1.890644,0.6934652,0.5513716,3.8858259,1.0696551,1.170762
1272-128104-0008_1.flac,1864.3108,152.49228,3993.4573,3840.965,7.6562147,8.0078125,female,-313.16882,48.367207,22.660336,7.268141,16.276152,-1.5620495,-4.4067016,0.45955056,2.7609286,3.616736,1.8127953,2.1584294,2.206436
1272-128104-0009_1.flac,1532.3827,152.62433,3995.1096,3842.4854,33.175373,10.060142154182614,female,-265.6212,67.35725,30.419813,9.941425,13.949158,-1.8473048,-5.36796,-3.8132784,-2.0115263,-2.7678165,1.7992473,2.9324107,-0.03625667
1272-128104-0010_1.flac,1363.1432,152.48222,3995.8462,3843.364,9.103849,9.464285714285715,female,-296.09158,91.03383,15.581854,-2.448632,12.819375,-5.2752514,-7.4746356,-1.3869121,-1.6250145,2.0729735,2.4807074,5.285435,0.15040483
1272-128104-0011_1.flac,1662.5632,152.48337,3995.5513,3843.0679,25.40504,9.725438306318226,female,-272.8034,57.401962,29.283558,8.866341,20.099548,-4.174535,-6.5867906,-2.2395015,-0.38286287,-1.2578051,3.944753,-0.18726932,0.75486004
1272-128104-0012_1.flac,1480.6635,152.96754,3982.3477,3829.3801,11.248092,9.479553903345725,female,-287.85416,76.54955,31.807703,5.111646,8.260402,-0.7187955,-4.2905974,-5.5401764,-4.3745766,-3.371392,3.1827173,-0.7782993,-0.44437647
1272-128104-0013_1.flac,1634.8632,152.91612,3995.957,3843.041,10.398508,8.591549295774648,female,-297.07108,56.751213,34.327427,13.227982,15.262549,-2.8432314,-3.685599,-1.7357845,-0.8892855,-0.4004689,3.2552183,1.5024337,3.3238637
1272-128104-0014_1.flac,1187.655,153.38908,3982.8662,3829.477,3.0107677,8.017817371937639,male,-328.46515,82.689644,24.6034,9.837235,20.296286,-6.055986,-8.457863,8.681241,-4.428397,4.323279,3.040147,6.5563416,-1.117278
1272-135031-0000_1.flac,1413.2196,152.63382,3995.1648,3842.531,18.204393,9.921910886541111,female,-269.82947,70.940315,37.655857,6.101571,14.191335,-0.007794064,-4.0136604,-5.6966734,0.36816487,-1.6568639,2.069414,-0.63059247,2.4888637
1272-135031-0001_1.flac,1486.2625,152.51146,3995.6821,3843.1707,15.861877,9.973045822102424,female,-283.5862,72.16568,37.208878,14.569956,19.482033,-2.3157332,-3.6258419,-4.8656554,3.0792916,-4.083425,3.3851745,-1.230445,1.4987704
1272-135031-0002_1.flac,1307.4825,152.49274,3994.8372,3842.3445,16.874937,9.934640522875817,female,-278.35358,70.98213,40.081234,11.110771,18.48626,-5.0014167,-3.9121892,-5.2194557,1.1064107,0.922266,2.71846,0.27811876,1.1028733
1272-135031-0003_1.flac,1263.3585,152.95993,3993.433,3840.4731,6.3076377,8.832807570977918,female,-276.6204,87.23849,31.855894,8.688394,16.929743,-1.0786412,-0.94703656,-9.36432,2.3257675,1.0535991,4.076432,0.7085845,3.3899257
1272-135031-0004_1.flac,1149.8398,152.41945,3994.9004,3842.481,7.2719173,10.414201183431954,male,-267.29617,74.25368,37.217804,8.467083,20.637932,-2.0974052,-6.8865952,-4.5045867,3.5571797,-1.5344813,4.37608,-0.78726584,1.5170147
1272-135031-0005_1.flac,1360.1127,152.74168,3993.8154,3841.0737,11.342719,10.81081081081081,female,-243.7229,91.632744,33.695763,7.409922,10.934291,-0.37529895,-11.848017,-2.687111,-7.9746146,-3.3219302,-0.06758544,-8.781727,-0.37268415
1272-135031-0006_1.flac,1370.7354,153.2073,3995.9639,3842.7566,6.60981,9.046454767726162,female,-256.8144,82.96338,37.467987,3.5884852,11.738505,0.29552448,-3.6653388,-2.6883583,-7.091668,-1.7895937,1.1372964,-3.6085625,-1.065353
