filename,pitch_mean,pitch_min,pitch_max,pitch_depth,energy,speaking_rate,gender,age,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,simulated_hr
1272-128104-0000_1.flac,1277.547,153.204,3993.4778,3840.2737,9.578499,9.564474807856532,male,young,-270.53543,72.5779,36.939964,0.0568013,5.353791,-1.8877615,-2.012185,-3.5055122,-1.8214334,-0.64445895,5.3190713,-1.9020473,2.5676522,-22.724998,-23.040754,-27.876276,-29.599321,-29.424938,-28.93823,-28.998484,-31.784422,-35.234768,-37.580425,73.38123611968861
1272-128104-0001_1.flac,1386.6936,153.68596,3995.9368,3842.2507,9.542079,9.553478712357215,female,young,-271.05533,68.17836,30.057135,3.3073144,19.59939,-0.0694504,-8.572312,-4.1467934,0.093636066,-0.13765328,1.4790639,-0.8439064,2.9863079,-25.912172,-24.544344,-30.34554,-33.104454,-31.981556,-32.953804,-34.006474,-36.739136,-40.60585,-43.659264,78.26045648886041
1272-128104-0002_1.flac,1686.8936,152.52641,3995.7751,3843.2488,24.117176,10.172206647977571,female,young,-267.69794,52.863182,35.257923,6.2762485,14.780934,-1.7749054,-5.186496,-4.4997935,-4.7727375,-1.0317677,0.51420355,-0.33357555,1.9006327,-29.198565,-26.711067,-30.736544,-33.06341,-33.305492,-33.546547,-35.176468,-38.03876,-41.517082,-45.1702,85.27565842459424
1272-128104-0003_1.flac,1466.0519,152.45767,3995.8154,3843.3577,17.017239,9.494949494949497,female,young,-269.67007,73.808556,28.630255,4.2667403,18.755882,-5.074309,-6.9904075,-4.9178257,-0.53129995,-3.8859863,2.2254434,1.1480062,-0.21618804,-27.938234,-26.903894,-32.078224,-32.86836,-32.602936,-32.943775,-34.25866,-37.28256,-40.726173,-44.283176,85.68855956395002
1272-128104-0004_1.flac,1643.6858,152.34703,3995.8066,3843.4597,52.795532,9.285714285714286,female,young,-274.92206,60.074413,32.071655,0.82569194,16.412426,-1.4793491,-8.771346,-1.9199941,-1.6942848,2.1363683,-0.29957038,-0.79098034,-1.1952232,-31.576391,-30.215586,-34.046104,-36.371807,-36.750507,-36.86532,-38.48241,-40.683727,-43.211796,-45.91413,84.85697866862152
1272-128104-0005_1.flac,1555.4482,152.36957,3995.8896,3843.52,14.802103,9.655937846836848,female,young,-273.30057,61.098583,32.80037,1.5588344,18.893694,0.3538693,-7.5971656,-2.1323376,-4.416621,4.045132,2.6122687,1.0961726,1.8317516,-28.164679,-28.234371,-32.9003,-35.33284,-35.87309,-35.755886,-36.66646,-38.25439,-41.897232,-45.682556,84.21536639871204
1272-128104-0006_1.flac,1636.3983,152.5045,3996.0815,3843.5771,8.067527,9.574468085106384,female,young,-293.1456,66.99532,41.441868,7.272961,12.907916,0.67617524,-1.1397965,-4.7034945,-2.1536856,-3.5526223,1.1021323,1.8767078,0.3605877,-22.56465,-22.943308,-28.1444,-28.856064,-28.52267,-30.532343,-32.26882,-34.70485,-38.742817,-41.58656,86.20283302904734
1272-128104-0007_1.flac,1472.5729,152.64082,3995.817,3843.176,15.174041,8.333333333333334,female,young,-297.78754,60.509544,27.521868,8.179616,12.253385,-7.137175,-2.8982081,1.890644,0.6934652,0.5513716,3.8858259,1.0696551,1.170762,-30.1486,-30.501217,-33.988,-37.078033,-37.908123,-38.084915,-37.057865,-39.232983,-42.49322,-45.041504,87.72639742531973
1272-128104-0008_1.flac,1864.3108,152.49228,3993.4573,3840.965,7.6562147,8.0078125,female,young,-313.16882,48.367207,22.660336,7.268141,16.276152,-1.5620495,-4.4067016,0.45955056,2.7609286,3.616736,1.8127953,2.1584294,2.206436,-34.809135,-34.59941,-37.86534,-42.331783,-42.86772,-42.33701,-41.853924,-43.2918,-46.42145,-49.743137,83.19326260573054
1272-128104-0009_1.flac,1532.3827,152.62433,3995.1096,3842.4854,33.175373,10.060142154182614,female,young,-265.6212,67.35725,30.419813,9.941425,13.949158,-1.8473048,-5.36796,-3.8132784,-2.0115263,-2.7678165,1.7992473,2.9324107,-0.03625667,-26.680235,-26.163567,-30.73008,-33.07059,-32.531364,-33.519398,-34.815334,-36.94461,-40.976185,-45.00549,84.62842273949776
